"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADCY3",30.244550655738,-0.0157297509036359,0.544226662716162,-0.0289029405967191,0.97694200034596,0.998581127287427
"AGRP",32.1196780132285,0.116751185331384,0.623687922269483,0.187194879302053,0.851507839600143,0.998581127287427
"ANKRD27",32.0025485780682,0.00174157271280424,0.613685610758248,0.00283789074124195,0.99773569383163,0.998581127287427
"ANO4",32.1047469849549,0.0796327988117729,0.622243399624966,0.127976928095611,0.898167231596443,0.998581127287427
"BDNF",40.9649502404822,-0.539857593374148,0.358215862066383,-1.50707338938024,0.131791846836703,0.998581127287427
"CADM1",32.0025307841698,-0.0164159506476409,0.613670484669016,-0.0267504321256299,0.978658788486513,0.998581127287427
"CADM2",41.0213001486422,-0.585008693350058,0.356436194147931,-1.64127185441573,0.100740995868395,0.998581127287427
"CALCR",32.0064166481167,-0.00109203044244408,0.614088750175896,-0.00177829416697715,0.998581127287427,0.998581127287427
"CNR1",50.7028767795207,0.0207538366159493,0.324509471580921,0.0639544864895384,0.949006467093418,0.998581127287427
"CREBRF",27.7994534287356,0.0523452349432078,0.414489668682138,0.126288394858281,0.899503642270781,0.998581127287427
"DPP9",41.4886218173777,-0.0555275600340795,0.31277062418575,-0.177534447739895,0.859088609582872,0.998581127287427
"FTO",29.5581001095725,0.901972205942951,0.745930066612588,1.20919137907791,0.226589328969993,0.998581127287427
"GIPR",39.3607149025534,-0.483210009262964,0.433244919407582,-1.11532758404577,0.264710069079866,0.998581127287427
"GPR151",58.9104355395859,0.0148865463956039,0.350273638648731,0.0424997623373328,0.966100301208006,0.998581127287427
"GPR75",37.125733864575,-0.0433798797346198,0.445415005110116,-0.0973920483974162,0.922415059170391,0.998581127287427
"KIAA0586",26.3832937612744,0.107624966431655,0.333814825998448,0.322409186319831,0.747142725808849,0.998581127287427
"KIAA1109",24.5776688423521,0.195344689555826,0.273399625034809,0.714502404789159,0.47491656967394,0.998581127287427
"KSR2",47.7075638017563,-0.485763573440126,0.449197943060704,-1.08140204322904,0.279518313172311,0.998581127287427
"LEP",42.791838150619,-0.775900858408772,0.410398525941224,-1.89060342414557,0.0586773028266482,0.998581127287427
"LEPR",32.0193953933439,0.601641688379155,1.08075624474102,0.556685831154576,0.57774209923938,0.998581127287427
"MC4R",35.3651836079708,0.384624025924987,0.962700479518716,0.399526160117083,0.689505552002934,0.998581127287427
"MRAP2",37.0930528537585,-0.768504358614102,0.549164811398907,-1.39940568416331,0.161691363325237,0.998581127287427
"NRP1",29.275844645745,0.42422646503847,0.509575225216691,0.832509988801108,0.405121142369445,0.998581127287427
"NRP2",36.4692678888119,0.128682724321801,0.526642502113835,0.244345497762324,0.806963249000642,0.998581127287427
"NTRK2",28.6127349292735,-0.679684288708798,0.709367747808222,-0.958155048363647,0.337984580466039,0.998581127287427
"PCSK1",46.6710133229959,0.303990141184205,0.384514962675267,0.790580785385282,0.429188663091304,0.998581127287427
"PDE3B",35.3369355338967,0.0347159373905252,0.615427940841447,0.0564094268178003,0.955015647399858,0.998581127287427
"PHIP",23.8176784819351,0.214613024449992,0.261103165610296,0.821947232804936,0.411106929342071,0.998581127287427
"POMC",48.1089627523102,0.419566669346379,0.360881539204948,1.16261604921859,0.244985316232515,0.998581127287427
"PPARG",33.7003804710185,-0.230333766168482,0.669590819826769,-0.343991822092292,0.730852436253547,0.998581127287427
"ROBO1",21.9744106554284,-0.0675054776460701,0.254273126401259,-0.265484121745301,0.790636540152268,0.998581127287427
"SH2B1",44.9592656346598,0.602752701267058,0.372777264019464,1.61692452690888,0.105894573352063,0.998581127287427
"SIM1",31.8401175991957,0.183830960989043,0.732809806536239,0.250857670502464,0.801924152142464,0.998581127287427
"SPARC",44.3599264707843,0.0276646503561469,0.307844557038815,0.0898656472027824,0.928393980223405,0.998581127287427
"TMEM18",19.591311925146,-0.0682956744316585,0.27104392223674,-0.251972720391814,0.801062149595583,0.998581127287427
"UBR2",77.0537996741727,0.25927122734767,0.676077802077318,0.383493181629441,0.701354124828798,0.998581127287427
"UHMK1",26.4237171614685,-0.275781419058492,0.3557486133179,-0.775214319140724,0.438213028338223,0.998581127287427
